t_rel_s,event,seq,info
2.637227,timeout,490,deneme=1
2.638019,retransmit,490,
2.642254,ack,490,
2.642712,send,506,
2.642735,send,507,
2.643205,send,508,
2.643882,send,509,
2.644373,send,510,
2.645212,send,511,
2.64597,ack,506,
2.647543,ack,509,
2.648442,ack,510,
2.648487,ack,511,
2.743989,timeout,507,deneme=0
2.744646,retransmit,507,
2.744657,timeout,508,deneme=0
2.745117,retransmit,508,
2.748749,ack,507,
2.749155,ack,508,
2.7496,fin_sent,-1,deneme=0
2.825265,done,-1,OK
